property_type,sector,price,bedRoom,bathroom,balcony,facing,agePossession,Built_up_area,servant room,store room,furnishing_type,facilities,floor_category
house,sector 3,1.0,2.0,4,2,East,Relatively New,900.0,No,No,unfurnished,basic,Low Floor
house,sector 31,4.6,2.0,4,4,East,Old Property,1460.0,No,No,unfurnished,basic,Mid Floor
house,sector 9,0.35,1.0,2,1,South-East,Old Property,360.0,No,No,unfurnished,basic,Low Floor
house,sector 11,1.5,4.0,9,1,East,Relatively New,1170.0,Yes,No,semifurnished,premium,Mid Floor
house,sector 2,5.2,4.0,5,2,North,Moderately Old,5200.0,No,No,unfurnished,basic,Low Floor
house,laxma,0.4,1.0,1,0,East,Moderately Old,450.0,No,No,unfurnished,basic,Low Floor
house,sector 104,0.62,2.0,3,1,North,Moderately Old,900.0,No,No,unfurnished,basic,Low Floor
house,laxma,0.5,2.0,3,2,West,Old Property,540.0,No,No,unfurnished,basic,Mid Floor
house,laxma,0.92,1.0,4,3,East,Moderately Old,603.0,No,No,semifurnished,basic,Mid Floor
house,sohna road,1.5,2.0,3,2,North,New Property,1053.0,No,No,furnished,standard,Low Floor
house,sector 103,2.25,0.0,5,4,South,Relatively New,3534.0,No,No,unfurnished,basic,Mid Floor
house,sector 25,13.5,1.0,6,4,North-East,Old Property,3617.0,No,No,semifurnished,standard,Mid Floor
house,sector 12,1.7,1.0,1,1,East,Old Property,1799.0,Yes,No,unfurnished,basic,Low Floor
house,sector 7,0.45,2.0,2,1,North-West,Old Property,900.0,No,No,unfurnished,basic,Low Floor
house,sector 105,1.2,3.0,2,1,North-West,Old Property,1185.0,No,No,unfurnished,basic,Low Floor
house,sector 67,1.5,2.0,3,2,North-East,New Property,200.0,No,No,unfurnished,basic,Low Floor
house,sector 2,0.35,2.0,2,0,North-East,New Property,600.0,No,No,unfurnished,basic,Low Floor
house,sector 3,0.55,1.0,2,1,South-East,Moderately Old,810.0,No,No,unfurnished,basic,Low Floor
house,laxma,0.4,1.0,1,1,East,Moderately Old,432.0,No,No,unfurnished,basic,Low Floor
house,sector 67,3.0,1.0,4,0,North-East,Moderately Old,2800.0,No,No,unfurnished,basic,Mid Floor
house,sector 105,0.43,2.0,3,3,East,Relatively New,1050.0,No,No,unfurnished,basic,Low Floor
house,arju,0.32,2.0,3,1,North-East,Relatively New,450.0,No,No,unfurnished,basic,Low Floor
